Facility ID,Station,Primary Network Affiliation,Market Rank,Licensed State,Latitude (degrees),Longitude (degrees)
63768,KBLR     ,Telemundo (US),40,NV,36.009528,-115.005306
58608,KNSO     ,Telemundo (US),54,CA,37.071944,-119.430278
30601,KHRR     ,Telemundo (US),70,AZ,32.248611,-111.115833
49439,WNEO     ,PBS (US),114,OH,40.906389,-80.911111
49421,WEAO     ,PBS (US),18,OH,41.082778,-81.633889
47929,WVIA-TV  ,PBS (US),55,PA,41.182028,-75.871194
47971,KRNE-TV  ,PBS (US),110,NE,42.676944,-101.710833
47996,KTNE-TV  ,PBS (US),197,NE,41.840833,-103.055000
47974,KYNE-TV  ,PBS (US),74,NE,41.257778,-96.008889
47975,KLNE-TV  ,PBS (US),105,NE,40.384722,-99.458333
47981,KMNE-TV  ,PBS (US),105,NE,42.334722,-99.483889
47987,KHNE-TV  ,PBS (US),105,NE,40.772222,-98.089167
47995,KXNE-TV  ,PBS (US),149,NE,42.237500,-97.278056
47973,KPNE-TV  ,PBS (US),209,NE,41.022778,-101.153889
35200,KMVT     ,CBS (US),193,ID,42.729722,-114.414444
48525,KNLC     ,Independent (US),21,MO,38.361111,-90.548611
55516,KRWG-TV  ,PBS (US),92,NM,32.292500,-106.697500
65526,KRON-TV  ,MyNetworkTV (US),6,CA,37.755278,-122.451667
73188,WKRN-TV  ,ABC (US),29,TN,36.047222,-86.830278
74416,WRIC-TV  ,ABC (US),56,VA,37.512500,-77.601667
74422,WTEN     ,ABC (US),59,NY,42.625278,-74.010556
74419,WCDC-TV  ,ABC (US),59,MA,42.637222,-73.168889
71082,WATE-TV  ,ABC (US),62,TN,36.003611,-83.942778
74417,WBAY-TV  ,ABC (US),68,WI,44.409722,-88.001667
6885,KWQC-TV  ,NBC (US),101,IA,41.312222,-90.379444
41975,KDLO-TV  ,CBS (US),110,SD,44.965556,-97.589444
41964,KPLO-TV  ,CBS (US),110,SD,43.907500,-99.696111
41983,KELO-TV  ,CBS (US),110,SD,43.518611,-96.534722
74420,WLNS-TV  ,CBS (US),113,MI,42.688611,-84.376389
35059,KLFY-TV  ,CBS (US),121,LA,30.321944,-92.283056
41969,KCLO-TV  ,CBS (US),171,SD,44.070278,-103.250278
83181,KOCW     ,FOX (US),65,KS,38.631389,-98.847778
